City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,kattivakkam,13.2167,80.3167,33.05,72,100,3.97,IN,1688968891
308,noosa heads,-26.3833,153.15,21.17,62,67,2.02,AU,1688968705
309,wuwei,37.9281,102.6414,28.25,31,99,9.94,CN,1688968466
310,cabo san lucas,22.8909,-109.9124,28.12,82,28,4.21,MX,1688968892
311,nago,26.5881,127.9761,33.03,71,18,3.04,JP,1688968892
312,bengkulu,-3.8004,102.2655,28.17,77,48,3.81,ID,1688968444
313,sisimiut,66.9395,-53.6735,7.42,90,99,0.25,GL,1688968893
314,ebaye,8.7748,167.7392,31.01,66,0,6.17,MH,1688968893
315,gwadar,25.1216,62.3254,29.4,68,82,3.89,PK,1688968893
316,levuka,50.1834,-105.4011,17.72,85,31,3.26,CA,1688968894
317,montanha,-18.1269,-40.3633,18.53,98,16,2.31,BR,1688968894
318,seven pagodas,12.6264,80.1722,33.03,81,100,2.58,IN,1688968894
319,shinkafi,13.0753,6.5105,26.54,70,70,4.05,NG,1688968895
320,isangel,-19.55,169.2667,21.29,62,27,5.65,VU,1688968895
321,kuchaiburi,22.2667,86.1667,34.2,50,99,3.47,IN,1688968626
322,buta,2.7858,24.73,23.01,82,65,0.7,CD,1688968897
323,ad dabbah,18.05,30.95,34.74,17,100,5.05,SD,1688968897
324,kiri buru,22.0833,85.35,32.07,55,99,3.07,IN,1688968741
325,dakhla,23.6848,-15.958,19.76,90,5,8.82,EH,1688968898
326,el granada,37.5027,-122.4694,16.08,90,100,5.14,US,1688968898
327,new norfolk,-42.7826,147.0587,15.72,69,61,4.66,AU,1688968899
328,novokruchininskiy,51.7833,113.7667,25.85,33,99,3.99,RU,1688968899
329,dubai,25.2582,55.3047,39.14,37,28,4.63,AE,1688968493
330,east ballina,-28.8667,153.5833,22.11,66,0,4.15,AU,1688968899
331,san pedro pochutla,15.7333,-96.4667,25.95,90,90,1.85,MX,1688968900
332,aral,40.5156,81.2636,31.5,25,54,3.4,CN,1688968901
333,linxi,39.7,118.4333,38.47,22,52,5.67,CN,1688968902
334,akureyri,65.6835,-18.0878,15.52,60,100,1.25,IS,1688968808
335,eureka,40.8021,-124.1637,14.4,89,31,0.45,US,1688968903
336,montepuez,-13.1256,38.9997,22.8,62,11,0.87,MZ,1688968903
337,tianchang,37.9981,114.0156,41.12,16,70,5.47,CN,1688968903
338,burutu,5.3509,5.5076,24.48,90,100,1.14,NG,1688968903
339,riposto,37.7306,15.2009,28.56,65,0,0.83,IT,1688968752
340,palikir - national government center,6.9248,158.1611,27.68,78,56,3.19,FM,1688968904
341,anapa,44.8908,37.3239,23.19,64,40,8.0,RU,1688968904
342,berdigestyakh,62.0989,126.6992,27.94,30,12,3.69,RU,1688968904
343,labytnangi,66.6572,66.4183,14.97,58,69,1.5,RU,1688968905
344,canela,-29.3656,-50.8156,14.04,94,100,0.45,BR,1688968906
345,prince rupert,54.3161,-130.3201,11.09,91,82,1.69,CA,1688968906
346,onverwacht,5.5833,-55.1833,25.48,94,26,1.19,SR,1688968907
347,antofagasta,-23.65,-70.4,15.6,84,92,2.37,CL,1688968675
348,alta,69.9689,23.2717,13.59,62,0,2.06,NO,1688968908
349,dapchi,12.4904,11.4944,27.36,62,59,5.05,NG,1688968908
350,piacabucu,-10.4056,-36.4344,23.32,89,59,2.62,BR,1688968908
351,camana,-16.6228,-72.7111,18.0,75,28,4.01,PE,1688968909
352,dubbo,-32.25,148.6167,16.07,48,2,4.63,AU,1688968593
353,spalt,49.1755,10.9245,23.54,58,81,1.66,DE,1688968910
354,nyurba,63.2842,118.3319,26.61,40,97,3.39,RU,1688968911
355,cockburn town,21.4612,-71.1419,28.3,85,46,8.88,TC,1688968912
356,zouerate,22.7187,-12.4521,26.45,38,3,0.86,MR,1688968912
357,punta del este,-34.9667,-54.95,13.82,95,80,2.24,UY,1688968912
358,bardai,11.65,7.2333,21.97,83,97,3.08,NG,1688968913
359,kertih,4.5141,103.4483,30.88,64,23,4.36,MY,1688968913
360,una,20.8167,71.0333,29.76,71,97,7.03,IN,1688968913
361,fort bragg,35.139,-79.006,24.08,93,40,2.57,US,1688968913
